DATE,Time (hour),Soil Temp (?C),Soil Humid (%),Air Temp (?C),Air Humid (%),Light (Lux),pH,N (mg/kg),P (mg/kg),K (mg/kg)
12/1/2024,21,22.69,70,24.8,94.2,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.2,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,93.7,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,94.1,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,93.8,0,6.5,57,6,17
12/1/2024,21,22.69,71,24.7,93.6,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,93.8,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,93.8,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,93.9,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.1,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.1,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.8,94.3,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.4,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.3,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.2,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.6,94.5,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.6,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.6,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.7,94.6,0,6.5,57,6,17
12/1/2024,21,22.69,70,24.6,94.7,0,6.5,57,6,17
12/1/2024,21,22.75,70,24.6,94.7,0,6.5,57,6,17
