DATE,Time (hour),Soil Temp (?C),Soil Humid (%),Air Temp (?C),Air Humid (%),Light (Lux),pH,N (mg/kg),P (mg/kg),K (mg/kg)
11/1/2024,21,22.56,94,23.8,87.1,0,6.6,53,5,18
11/1/2024,21,22.56,90,23.9,89.3,0,6.6,53,5,18
11/1/2024,21,22.56,87,24,91.2,0,6.6,53,5,18
11/1/2024,21,22.56,85,24,91.9,0,6.6,53,5,18
11/1/2024,21,22.5,82,24,92.7,0,6.6,53,5,18
11/1/2024,21,22.56,80,24.1,93.1,0,6.6,53,5,18
11/1/2024,21,22.56,79,24.1,93.3,0.83,6.6,53,5,18
11/1/2024,21,22.56,77,24.1,93.4,0,6.6,53,5,18
11/1/2024,21,22.56,76,24.1,93.4,0,6.6,53,5,18
11/1/2024,21,22.56,76,24.2,93.3,0,6.6,53,5.2,18
11/1/2024,21,22.62,75,24.2,93.3,0,6.6,53,5,18
11/1/2024,21,22.62,74,24.2,93.5,0,6.6,53,5,18
11/1/2024,21,22.56,73,24.3,93.6,0,6.6,53,5,18
11/1/2024,21,22.62,72,24.3,93.9,0,6.6,53,5,18
11/1/2024,21,22.69,72,24.3,94,0,6.6,53,5,18
11/1/2024,21,22.69,72,24.2,92.4,0,6.6,53,5,18
11/1/2024,21,22.5,85,24.2,87.9,0,6.6,53,5,18
11/1/2024,21,22.5,75,24.2,92,0,6.6,53,5,18
11/1/2024,21,22.5,74,24.2,92.4,0,6.6,53,5,18
11/1/2024,21,22.5,73,24.2,92.8,0,6.6,53,5,18
11/1/2024,21,22.5,73,24.3,93.1,0,6.6,53,5,18
11/1/2024,21,22.5,73,24.3,93.2,0,6.6,53,5,18
11/1/2024,21,22.5,73,24.3,93.5,0,6.6,53,5,18
11/1/2024,21,22.44,72,24.3,93.9,0,6.6,53,5,18
11/1/2024,21,22.5,72,24.4,94.2,0,6.6,53,5,18
11/1/2024,21,22.5,72,24.4,94.4,0,6.6,53,5,18
11/1/2024,21,22.44,71,24.3,94.4,0,6.6,53,5,18
11/1/2024,21,22.5,72,24.4,94.3,0,6.6,53,5,18
11/1/2024,21,22.5,72,24.4,94.6,0,6.6,53,5,18
11/1/2024,21,22.5,71,24.4,94.5,0,6.6,53,5,18
11/1/2024,21,22.5,71,24.3,94.4,0,6.6,53,5,18
11/1/2024,21,22.5,71,24.4,94.4,0,6.6,53,5,18
11/1/2024,21,22.5,71,24.4,94.3,0,6.6,53,5,18
11/1/2024,21,22.5,71,24.4,94.3,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.4,94.3,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.4,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.4,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94.3,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.4,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.4,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.4,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,71,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.4,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,69,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.6,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.4,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.2,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.4,94,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.62,69,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.62,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.62,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.56,70,24.5,94,0,6.6,53,5,18
11/1/2024,21,22.62,70,24.5,94.1,0,6.6,53,5,18
11/1/2024,21,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.56,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.6,94,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,70,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,70,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.62,69,24.5,94,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,70,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.7,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.4,94,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.6,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,68,24.6,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.4,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,22,22.69,68,24.4,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.8,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,93.8,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,94,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,94,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,94,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.5,93.9,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,94,0,6.6,53,5,18
11/1/2024,23,22.69,69,24.4,94,0,6.6,53,5,18
